Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time;Max;;Tiempo (s);Is(A);Ps (W);Wh;<Is> (A);;;;;;;;;;
1;0.2137 A DC;30:01.2;00:02.4;30:03.2;0.2232 A DC;0.2105 A DC;30:03.5;0.1996 A DC;Stable;30:03.6;1.6253 A DC;;0;0.2105;2.6102;0;0.1896;;;;;;;;;;
2;1.2421 A DC;30:03.6;00:00.6;30:03.9;1.6253 A DC;1.1862 A DC;30:04.1;0.2371 A DC;Stable;30:04.2;;;2.399999555;1.1862;14.70888;0.009805918;0.1896;;;;;;;;;;
3;0.2126 A DC;30:04.2;00:04.8;30:05.6;0.2152 A DC;0.2116 A DC;30:07.8;0.2084 A DC;Stable;30:09.0;;;3.000000073;0.2116;2.62384;0.000437307;0.1896;;;;;;;;;;
4;0.6339 A DC;30:09.0;00:00.1;30:09.0;0.6339 A DC;0.6339 A DC;30:09.0;0.6339 A DC;Stable;30:09.1;Average;;7.799999812;0.6339;7.86036;0.010480479;0.1896;;;;;;;;;;
5;1.1584 A DC;30:09.1;00:01.5;30:10.3;1.1906 A DC;1.1823 A DC;30:09.1;1.1584 A DC;Interval;30:10.6;0.1896 A DC;;7.899999898;1.1823;14.66052;0.000407237;0.1896;;;FLUKE 289;  V1.41;0;;;;;
6;1.1920 A DC;30:10.6;00:01.1;30:11.2;1.1971 A DC;1.1871 A DC;30:11.4;1.1809 A DC;Stable;30:11.7;;;9.399999934;1.1871;14.72004;0.00613335;0.1896;;;;;;;;;;
7;0.7708 A DC;30:11.7;00:00.7;30:11.7;0.7708 A DC;0.5912 A DC;30:12.3;0.3532 A DC;Stable;30:12.4;;;10.49999963;0.5912;7.33088;0.00223999;0.1896;;;Start Time;Stop Time;Elapsed Time;Interval;Total readings;Intervals;Input Events;Session Name
8;0.1895 A DC;30:12.4;00:08.1;30:16.1;0.1948 A DC;0.1861 A DC;30:12.6;0.1815 A DC;Interval;30:20.6;;;11.1999996;0.1861;2.30764;0.000448708;0.1896;;;14/01/2026 14:30;14/01/2026 14:50;0:20:00;0:00:10;381;121;275;Save 4
9;0.1858 A DC;30:20.6;00:10.0;30:21.4;0.1983 A DC;0.1870 A DC;30:27.4;0.1835 A DC;Interval;30:30.5;;;19.39999976;0.187;2.3188;0.005281711;0.1896;;;Max Time;;;Min;Min Time;Scaling;;
10;0.1859 A DC;30:30.5;00:10.1;30:33.7;0.1959 A DC;0.1872 A DC;30:31.4;0.1809 A DC;Interval;30:40.6;;;29.29999949;0.1872;2.32128;0.00638352;0.1896;;;14/01/2026 14:30;;;0.1746 A DC;14/01/2026 14:48;(none);;
11;0.1883 A DC;30:40.6;00:07.0;30:46.3;0.1949 A DC;0.1876 A DC;30:45.5;0.1850 A DC;Stable;30:47.6;;;39.40000003;0.1876;2.32624;0.006526396;0.1896;;;;;;;;;;
12;0.6652 A DC;30:47.6;00:00.2;30:47.6;0.6652 A DC;0.4364 A DC;30:47.7;0.2075 A DC;Stable;30:47.8;;;46.39999978;0.4364;5.41136;0.010522089;0.1896;;;To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0';;;;;;;
13;0.1886 A DC;30:47.8;00:02.7;30:49.2;0.1947 A DC;0.1872 A DC;30:49.8;0.1842 A DC;Interval;30:50.6;;;46.59999995;0.1872;2.32128;0.00012896;0.1896;;;;;;;;;;
14;0.1881 A DC;30:50.6;00:07.1;30:53.8;0.1934 A DC;0.1881 A DC;30:52.7;0.1854 A DC;Stable;30:57.7;;;49.39999986;0.1881;2.33244;0.00181412;0.1896;;;;;;;;;;
15;0.2176 A DC;30:57.7;00:00.2;30:57.8;0.4582 A DC;0.3379 A DC;30:57.7;0.2176 A DC;Stable;30:57.9;;;56.49999969;0.3379;4.18996;0.008263532;0.1896;;;;;;;;;;
16;0.1968 A DC;30:57.9;00:02.6;30:58.5;0.1995 A DC;0.1880 A DC;30:59.7;0.1836 A DC;Interval;31:00.5;;;56.69999986;0.188;2.3312;0.000129511;0.1896;;;;;;;;;;
17;0.1840 A DC;31:00.5;00:02.7;31:03.1;0.1995 A DC;0.1876 A DC;31:00.5;0.1840 A DC;Stable;31:03.2;;;59.29999959;0.1876;2.32624;0.001680062;0.1896;;;;;;;;;;
18;0.2046 A DC;31:03.2;00:04.6;31:03.2;0.2046 A DC;0.1883 A DC;31:05.5;0.1832 A DC;Stable;31:07.9;;;62.00000003;0.1883;2.33492;0.00175119;0.1896;;;;;;;;;;
19;0.6432 A DC;31:07.9;00:00.2;31:07.9;0.6432 A DC;0.4595 A DC;31:08.0;0.2757 A DC;Stable;31:08.1;;;66.69999969;0.4595;5.6978;0.007438794;0.1896;;;;;;;;;;
20;0.1895 A DC;31:08.1;00:02.5;31:10.4;0.2001 A DC;0.1883 A DC;31:09.9;0.1839 A DC;Interval;31:10.6;;;66.89999986;0.1883;2.33492;0.000129718;0.1896;;;;;;;;;;
21;0.1874 A DC;31:10.6;00:02.4;31:12.8;0.1908 A DC;0.1877 A DC;31:11.6;0.1865 A DC;Stable;31:13.0;;;69.3999995;0.1877;2.32748;0.001616305;0.1896;;;;;;;;;;
22;0.2123 A DC;31:13.0;00:00.1;31:13.0;0.2123 A DC;0.2123 A DC;31:13.0;0.2123 A DC;Stable;31:13.1;;;71.79999969;0.2123;2.63252;0.001755013;0.1896;;;;;;;;;;
23;0.1877 A DC;31:13.1;00:07.5;31:14.3;0.1926 A DC;0.1877 A DC;31:19.7;0.1845 A DC;Interval;31:20.5;;;71.89999977;0.1877;2.32748;6.46523E-05;0.1896;;;;;;;;;;
24;0.1890 A DC;31:20.5;00:02.5;31:20.7;0.1963 A DC;0.1889 A DC;31:22.8;0.1868 A DC;Stable;31:23.1;;;79.29999987;0.1889;2.34236;0.004814851;0.1896;;;;;;;;;;
25;0.7307 A DC;31:23.1;00:00.2;31:23.1;0.7307 A DC;0.4743 A DC;31:23.2;0.2179 A DC;Stable;31:23.3;;;81.89999959;0.4743;5.88132;0.00424762;0.1896;;;;;;;;;;
26;0.1872 A DC;31:23.3;00:07.3;31:27.1;0.1981 A DC;0.1877 A DC;31:24.3;0.1817 A DC;Interval;31:30.6;;;82.09999977;0.1877;2.32748;0.000129305;0.1896;;;;;;;;;;
27;0.1871 A DC;31:30.6;00:02.6;31:33.1;0.2041 A DC;0.1889 A DC;31:33.0;0.1841 A DC;Stable;31:33.2;;;89.39999978;0.1889;2.34236;0.004749786;0.1896;;;;;;;;;;
28;0.6697 A DC;31:33.2;00:00.2;31:33.2;0.6697 A DC;0.4389 A DC;31:33.3;0.2080 A DC;Stable;31:33.4;;;91.9999995;0.4389;5.44236;0.003930593;0.1896;;;;;;;;;;
29;0.1887 A DC;31:33.4;00:07.1;31:39.7;0.1929 A DC;0.1876 A DC;31:34.2;0.1826 A DC;Interval;31:40.6;;;92.19999968;0.1876;2.32624;0.000129236;0.1896;;;;;;;;;;
