FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 17:00:51,14/01/2026 17:20:50,0:19:59,0:00:10,330,121,219,Save 1
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 17:01:02,0.4076 A DC,0.3383 A DC,0.2022 A DC,14/01/2026 17:00:53,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,0.3390 A DC,14/01/2026 17:00:51.0,0:00:02.0,14/01/2026 17:00:51.3,0.3478 A DC,0.3418 A DC,14/01/2026 17:00:52.6,0.3386 A DC,Stable,14/01/2026 17:00:53.0
2,0.2351 A DC,14/01/2026 17:00:53.0,0:00:00.5,14/01/2026 17:00:53.3,0.2670 A DC,0.2366 A DC,14/01/2026 17:00:53.1,0.2022 A DC,Unstable,14/01/2026 17:00:53.5
3,0.3133 A DC,14/01/2026 17:00:53.5,0:00:01.5,14/01/2026 17:00:54.3,0.3244 A DC,0.3145 A DC,14/01/2026 17:00:53.6,0.3087 A DC,Stable,14/01/2026 17:00:55.0
4,0.3424 A DC,14/01/2026 17:00:55.0,0:00:01.2,14/01/2026 17:00:56.1,0.3482 A DC,0.3257 A DC,14/01/2026 17:00:55.4,0.3184 A DC,Unstable,14/01/2026 17:00:56.2
5,0.3284 A DC,14/01/2026 17:00:56.2,0:00:04.2,14/01/2026 17:00:59.2,0.3394 A DC,0.3223 A DC,14/01/2026 17:00:57.5,0.3085 A DC,Interval,14/01/2026 17:01:00.5
6,0.3003 A DC,14/01/2026 17:01:00.5,0:00:00.3,14/01/2026 17:01:00.5,0.3003 A DC,0.2868 A DC,14/01/2026 17:01:00.7,0.2798 A DC,Unstable,14/01/2026 17:01:00.8
7,0.3276 A DC,14/01/2026 17:01:00.8,0:00:01.4,14/01/2026 17:01:01.1,0.3289 A DC,0.3143 A DC,14/01/2026 17:01:01.6,0.3091 A DC,Stable,14/01/2026 17:01:02.2
8,0.3847 A DC,14/01/2026 17:01:02.2,0:00:00.2,14/01/2026 17:01:02.3,0.4076 A DC,0.3962 A DC,14/01/2026 17:01:02.2,0.3847 A DC,Unstable,14/01/2026 17:01:02.4
9,0.3322 A DC,14/01/2026 17:01:02.4,0:00:04.9,14/01/2026 17:01:04.3,0.3480 A DC,0.3331 A DC,14/01/2026 17:01:03.0,0.3249 A DC,Stable,14/01/2026 17:01:07.3
10,0.3524 A DC,14/01/2026 17:01:07.3,0:00:01.0,14/01/2026 17:01:07.3,0.3524 A DC,0.3365 A DC,14/01/2026 17:01:07.6,0.3270 A DC,Unstable,14/01/2026 17:01:08.3
