FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 14:30:01,14/01/2026 14:50:01,0:20:00,0:00:10,381,121,275,Save 4
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 14:30:04,1.6253 A DC,0.1896 A DC,0.1746 A DC,14/01/2026 14:48:15,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,0.2137 A DC,14/01/2026 14:30:01.2,0:00:02.4,14/01/2026 14:30:03.2,0.2232 A DC,0.2105 A DC,14/01/2026 14:30:03.5,0.1996 A DC,Stable,14/01/2026 14:30:03.6
2,1.2421 A DC,14/01/2026 14:30:03.6,0:00:00.6,14/01/2026 14:30:03.9,1.6253 A DC,1.1862 A DC,14/01/2026 14:30:04.1,0.2371 A DC,Unstable,14/01/2026 14:30:04.2
3,0.2126 A DC,14/01/2026 14:30:04.2,0:00:04.8,14/01/2026 14:30:05.6,0.2152 A DC,0.2116 A DC,14/01/2026 14:30:07.8,0.2084 A DC,Stable,14/01/2026 14:30:09.0
4,0.6339 A DC,14/01/2026 14:30:09.0,0:00:00.1,14/01/2026 14:30:09.0,0.6339 A DC,0.6339 A DC,14/01/2026 14:30:09.0,0.6339 A DC,Unstable,14/01/2026 14:30:09.1
5,1.1584 A DC,14/01/2026 14:30:09.1,0:00:01.5,14/01/2026 14:30:10.3,1.1906 A DC,1.1823 A DC,14/01/2026 14:30:09.1,1.1584 A DC,Interval,14/01/2026 14:30:10.6
6,1.1920 A DC,14/01/2026 14:30:10.6,0:00:01.1,14/01/2026 14:30:11.2,1.1971 A DC,1.1871 A DC,14/01/2026 14:30:11.4,1.1809 A DC,Stable,14/01/2026 14:30:11.7
7,0.7708 A DC,14/01/2026 14:30:11.7,0:00:00.7,14/01/2026 14:30:11.7,0.7708 A DC,0.5912 A DC,14/01/2026 14:30:12.3,0.3532 A DC,Unstable,14/01/2026 14:30:12.4
8,0.1895 A DC,14/01/2026 14:30:12.4,0:00:08.1,14/01/2026 14:30:16.1,0.1948 A DC,0.1861 A DC,14/01/2026 14:30:12.6,0.1815 A DC,Interval,14/01/2026 14:30:20.6
9,0.1858 A DC,14/01/2026 14:30:20.6,0:00:10.0,14/01/2026 14:30:21.4,0.1983 A DC,0.1870 A DC,14/01/2026 14:30:27.4,0.1835 A DC,Interval,14/01/2026 14:30:30.5
10,0.1859 A DC,14/01/2026 14:30:30.5,0:00:10.1,14/01/2026 14:30:33.7,0.1959 A DC,0.1872 A DC,14/01/2026 14:30:31.4,0.1809 A DC,Interval,14/01/2026 14:30:40.6
11,0.1883 A DC,14/01/2026 14:30:40.6,0:00:07.0,14/01/2026 14:30:46.3,0.1949 A DC,0.1876 A DC,14/01/2026 14:30:45.5,0.1850 A DC,Stable,14/01/2026 14:30:47.6
12,0.6652 A DC,14/01/2026 14:30:47.6,0:00:00.2,14/01/2026 14:30:47.6,0.6652 A DC,0.4364 A DC,14/01/2026 14:30:47.7,0.2075 A DC,Unstable,14/01/2026 14:30:47.8
13,0.1886 A DC,14/01/2026 14:30:47.8,0:00:02.7,14/01/2026 14:30:49.2,0.1947 A DC,0.1872 A DC,14/01/2026 14:30:49.8,0.1842 A DC,Interval,14/01/2026 14:30:50.6
14,0.1881 A DC,14/01/2026 14:30:50.6,0:00:07.1,14/01/2026 14:30:53.8,0.1934 A DC,0.1881 A DC,14/01/2026 14:30:52.7,0.1854 A DC,Stable,14/01/2026 14:30:57.7
15,0.2176 A DC,14/01/2026 14:30:57.7,0:00:00.2,14/01/2026 14:30:57.8,0.4582 A DC,0.3379 A DC,14/01/2026 14:30:57.7,0.2176 A DC,Unstable,14/01/2026 14:30:57.9
16,0.1968 A DC,14/01/2026 14:30:57.9,0:00:02.6,14/01/2026 14:30:58.5,0.1995 A DC,0.1880 A DC,14/01/2026 14:30:59.7,0.1836 A DC,Interval,14/01/2026 14:31:00.5
17,0.1840 A DC,14/01/2026 14:31:00.5,0:00:02.7,14/01/2026 14:31:03.1,0.1995 A DC,0.1876 A DC,14/01/2026 14:31:00.5,0.1840 A DC,Stable,14/01/2026 14:31:03.2
18,0.2046 A DC,14/01/2026 14:31:03.2,0:00:04.6,14/01/2026 14:31:03.2,0.2046 A DC,0.1883 A DC,14/01/2026 14:31:05.5,0.1832 A DC,Stable,14/01/2026 14:31:07.9
19,0.6432 A DC,14/01/2026 14:31:07.9,0:00:00.2,14/01/2026 14:31:07.9,0.6432 A DC,0.4595 A DC,14/01/2026 14:31:08.0,0.2757 A DC,Unstable,14/01/2026 14:31:08.1
20,0.1895 A DC,14/01/2026 14:31:08.1,0:00:02.5,14/01/2026 14:31:10.4,0.2001 A DC,0.1883 A DC,14/01/2026 14:31:09.9,0.1839 A DC,Interval,14/01/2026 14:31:10.6
21,0.1874 A DC,14/01/2026 14:31:10.6,0:00:02.4,14/01/2026 14:31:12.8,0.1908 A DC,0.1877 A DC,14/01/2026 14:31:11.6,0.1865 A DC,Stable,14/01/2026 14:31:13.0
22,0.2123 A DC,14/01/2026 14:31:13.0,0:00:00.1,14/01/2026 14:31:13.0,0.2123 A DC,0.2123 A DC,14/01/2026 14:31:13.0,0.2123 A DC,Unstable,14/01/2026 14:31:13.1
23,0.1877 A DC,14/01/2026 14:31:13.1,0:00:07.5,14/01/2026 14:31:14.3,0.1926 A DC,0.1877 A DC,14/01/2026 14:31:19.7,0.1845 A DC,Interval,14/01/2026 14:31:20.5
24,0.1890 A DC,14/01/2026 14:31:20.5,0:00:02.5,14/01/2026 14:31:20.7,0.1963 A DC,0.1889 A DC,14/01/2026 14:31:22.8,0.1868 A DC,Stable,14/01/2026 14:31:23.1
25,0.7307 A DC,14/01/2026 14:31:23.1,0:00:00.2,14/01/2026 14:31:23.1,0.7307 A DC,0.4743 A DC,14/01/2026 14:31:23.2,0.2179 A DC,Unstable,14/01/2026 14:31:23.3
26,0.1872 A DC,14/01/2026 14:31:23.3,0:00:07.3,14/01/2026 14:31:27.1,0.1981 A DC,0.1877 A DC,14/01/2026 14:31:24.3,0.1817 A DC,Interval,14/01/2026 14:31:30.6
27,0.1871 A DC,14/01/2026 14:31:30.6,0:00:02.6,14/01/2026 14:31:33.1,0.2041 A DC,0.1889 A DC,14/01/2026 14:31:33.0,0.1841 A DC,Stable,14/01/2026 14:31:33.2
28,0.6697 A DC,14/01/2026 14:31:33.2,0:00:00.2,14/01/2026 14:31:33.2,0.6697 A DC,0.4389 A DC,14/01/2026 14:31:33.3,0.2080 A DC,Unstable,14/01/2026 14:31:33.4
29,0.1887 A DC,14/01/2026 14:31:33.4,0:00:07.1,14/01/2026 14:31:39.7,0.1929 A DC,0.1876 A DC,14/01/2026 14:31:34.2,0.1826 A DC,Interval,14/01/2026 14:31:40.6
30,0.1874 A DC,14/01/2026 14:31:40.6,0:00:02.7,14/01/2026 14:31:40.7,0.1907 A DC,0.1883 A DC,14/01/2026 14:31:41.1,0.1872 A DC,Stable,14/01/2026 14:31:43.3
31,0.2867 A DC,14/01/2026 14:31:43.3,0:00:00.2,14/01/2026 14:31:43.4,0.3820 A DC,0.3344 A DC,14/01/2026 14:31:43.3,0.2867 A DC,Unstable,14/01/2026 14:31:43.5
32,0.1940 A DC,14/01/2026 14:31:43.5,0:00:07.0,14/01/2026 14:31:43.5,0.1940 A DC,0.1873 A DC,14/01/2026 14:31:48.8,0.1830 A DC,Interval,14/01/2026 14:31:50.5
33,0.1915 A DC,14/01/2026 14:31:50.5,0:00:02.9,14/01/2026 14:31:50.5,0.1915 A DC,0.1878 A DC,14/01/2026 14:31:52.2,0.1864 A DC,Stable,14/01/2026 14:31:53.4
34,0.7194 A DC,14/01/2026 14:31:53.4,0:00:00.2,14/01/2026 14:31:53.4,0.7194 A DC,0.4915 A DC,14/01/2026 14:31:53.5,0.2635 A DC,Unstable,14/01/2026 14:31:53.6
